"url","status","finalUrl","redirectHops","rateLimited","providerValidated","broken","error","scope"
"https://x3yyntt5tp-staging.wpdns.site/2025/12/26/setting-healthy-boundaries-with-your-children/","200","https://x3yyntt5tp-staging.wpdns.site/2025/12/26/setting-healthy-boundaries-with-your-children/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/curriculum/","200","https://x3yyntt5tp-staging.wpdns.site/curriculum/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/contact-us/","200","https://x3yyntt5tp-staging.wpdns.site/contact-us/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/about/","200","https://x3yyntt5tp-staging.wpdns.site/about/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/parents/","200","https://x3yyntt5tp-staging.wpdns.site/parents/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/chroma-early-start/","200","https://x3yyntt5tp-staging.wpdns.site/chroma-early-start/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/summer-camp-discover-go/","200","https://x3yyntt5tp-staging.wpdns.site/summer-camp-discover-go/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/programs/rising-kindergarten/","200","https://x3yyntt5tp-staging.wpdns.site/programs/rising-kindergarten/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/programs/rising-pre-k/","200","https://x3yyntt5tp-staging.wpdns.site/programs/rising-pre-k/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/programs/parents-day-out/","200","https://x3yyntt5tp-staging.wpdns.site/programs/parents-day-out/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/programs/camp-summer-winter-fall/","200","https://x3yyntt5tp-staging.wpdns.site/programs/camp-summer-winter-fall/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/programs/after-school/","200","https://x3yyntt5tp-staging.wpdns.site/programs/after-school/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/employers/","200","https://x3yyntt5tp-staging.wpdns.site/employers/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/communities/","200","https://x3yyntt5tp-staging.wpdns.site/communities/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/2026/01/13/explore-the-link-between-care-quality-and-education-pricing/","200","https://x3yyntt5tp-staging.wpdns.site/2026/01/13/explore-the-link-between-care-quality-and-education-pricing/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/newsroom/","200","https://x3yyntt5tp-staging.wpdns.site/newsroom/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/privacy-policy/","200","https://x3yyntt5tp-staging.wpdns.site/privacy-policy/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/terms-of-service/","200","https://x3yyntt5tp-staging.wpdns.site/terms-of-service/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/programs/rising-kindergarten/","200","https://x3yyntt5tp-staging.wpdns.site/es/programs/rising-kindergarten/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/programs/rising-pre-k/","200","https://x3yyntt5tp-staging.wpdns.site/es/programs/rising-pre-k/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/programs/kindergarten/","200","https://x3yyntt5tp-staging.wpdns.site/es/programs/kindergarten/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/programs/parents-day-out/","200","https://x3yyntt5tp-staging.wpdns.site/es/programs/parents-day-out/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/programs/camp-summer-winter-fall/","200","https://x3yyntt5tp-staging.wpdns.site/es/programs/camp-summer-winter-fall/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/programs/after-school/","200","https://x3yyntt5tp-staging.wpdns.site/es/programs/after-school/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/locations/parklake-campus/","200","https://x3yyntt5tp-staging.wpdns.site/locations/parklake-campus/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=6779","200","https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=6779","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/locations/chroma-early-learning-academy-chadwick/","200","https://x3yyntt5tp-staging.wpdns.site/locations/chroma-early-learning-academy-chadwick/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4406","200","https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4406","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/locations/cherokee-campus/","200","https://x3yyntt5tp-staging.wpdns.site/locations/cherokee-campus/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4289","200","https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4289","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/locations/pleasanthill-campus-duluth/","200","https://x3yyntt5tp-staging.wpdns.site/locations/pleasanthill-campus-duluth/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4410","200","https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4410","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/locations/ellenwood-campus/","200","https://x3yyntt5tp-staging.wpdns.site/locations/ellenwood-campus/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=6781","200","https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=6781","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/locations/chroma-early-learning-academy-grayson/","200","https://x3yyntt5tp-staging.wpdns.site/locations/chroma-early-learning-academy-grayson/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4237","200","https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4237","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/locations/johns-creek/","200","https://x3yyntt5tp-staging.wpdns.site/locations/johns-creek/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4414","200","https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4414","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/locations/jonesboro-campus/","200","https://x3yyntt5tp-staging.wpdns.site/locations/jonesboro-campus/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4288","200","https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4288","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/locations/lawrenceville-campus/","200","https://x3yyntt5tp-staging.wpdns.site/locations/lawrenceville-campus/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4407","200","https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4407","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/locations/lilburn-campus/","200","https://x3yyntt5tp-staging.wpdns.site/locations/lilburn-campus/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4408","200","https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4408","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/locations/east-cobb-campus/","200","https://x3yyntt5tp-staging.wpdns.site/locations/east-cobb-campus/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4336","200","https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4336","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/locations/mcdonough/","200","https://x3yyntt5tp-staging.wpdns.site/locations/mcdonough/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4417","200","https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4417","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/locations/midway-campus/","200","https://x3yyntt5tp-staging.wpdns.site/locations/midway-campus/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4419","200","https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4419","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/locations/north-hall-campus-murraysville/","200","https://x3yyntt5tp-staging.wpdns.site/locations/north-hall-campus-murraysville/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=8641","200","https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=8641","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4415","200","https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4415","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/locations/rivergreen-campus/","200","https://x3yyntt5tp-staging.wpdns.site/locations/rivergreen-campus/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4409","200","https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4409","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/locations/roswell-campus/","200","https://x3yyntt5tp-staging.wpdns.site/locations/roswell-campus/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4413","200","https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4413","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/locations/satellite-bvd-campus/","200","https://x3yyntt5tp-staging.wpdns.site/locations/satellite-bvd-campus/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4420","200","https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4420","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/locations/newnan/","200","https://x3yyntt5tp-staging.wpdns.site/locations/newnan/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4416","200","https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=4416","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/locations/south-cobb-campus-austell/","200","https://x3yyntt5tp-staging.wpdns.site/locations/south-cobb-campus-austell/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=6782","200","https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=6782","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/locations/chroma-early-learning-academy-stockbridge/","200","https://x3yyntt5tp-staging.wpdns.site/locations/chroma-early-learning-academy-stockbridge/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=6780","200","https://x3yyntt5tp-staging.wpdns.site/schedule-a-tour/?campus=6780","0","false","false","false","","internal"
