meta_key,source_file,discovery_methods,api_write,content_write_policy,geo_status
program_seo_summary,chroma-excellence-theme/inc/cpt-programs.php,update_post_meta|register_post_meta|get_post_meta,content/{id},"allowed on content/{id}","allowed in geo-feed"
program_testimonials,chroma-excellence-theme/inc/class-program-enhancements.php,update_post_meta|delete_post_meta|get_post_meta,content/{id},"allowed on content/{id}","private by default"
schema_loc_description,chroma-excellence-theme/inc/schema-meta-boxes.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
schema_loc_email,chroma-excellence-theme/inc/schema-meta-boxes.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
schema_loc_name,chroma-excellence-theme/inc/schema-meta-boxes.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
schema_loc_opening_hours,chroma-excellence-theme/inc/schema-meta-boxes.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
schema_loc_payment_accepted,chroma-excellence-theme/inc/schema-meta-boxes.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
schema_loc_price_range,chroma-excellence-theme/inc/schema-meta-boxes.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
schema_loc_telephone,chroma-excellence-theme/inc/schema-meta-boxes.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
schema_org_address,chroma-excellence-theme/inc/schema-meta-boxes.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
schema_org_area_served,chroma-excellence-theme/inc/schema-meta-boxes.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
schema_org_description,chroma-excellence-theme/inc/schema-meta-boxes.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
schema_org_email,chroma-excellence-theme/inc/schema-meta-boxes.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
schema_org_logo,chroma-excellence-theme/inc/schema-meta-boxes.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
schema_org_name,chroma-excellence-theme/inc/schema-meta-boxes.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
schema_org_telephone,chroma-excellence-theme/inc/schema-meta-boxes.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
schema_org_url,chroma-excellence-theme/inc/schema-meta-boxes.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
schema_prog_area_served,chroma-excellence-theme/inc/schema-meta-boxes.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
schema_prog_category,chroma-excellence-theme/inc/schema-meta-boxes.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
schema_prog_description,chroma-excellence-theme/inc/schema-meta-boxes.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
schema_prog_name,chroma-excellence-theme/inc/schema-meta-boxes.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
schema_prog_offers,chroma-excellence-theme/inc/schema-meta-boxes.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
schema_prog_provider_name,chroma-excellence-theme/inc/schema-meta-boxes.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
schema_prog_service_type,chroma-excellence-theme/inc/schema-meta-boxes.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
seo_llm_aggregate_rating_best,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-location-reviews.php,update_post_meta|get_post_meta,content/{id},"allowed on content/{id}","allowed in geo-feed"
seo_llm_aggregate_rating_count,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-location-reviews.php,update_post_meta|get_post_meta,content/{id},"allowed on content/{id}","allowed in geo-feed"
seo_llm_aggregate_rating_value,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-location-reviews.php,update_post_meta|get_post_meta,content/{id},"allowed on content/{id}","allowed in geo-feed"
seo_llm_aggregate_rating_worst,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-location-reviews.php,update_post_meta|get_post_meta,content/{id},"allowed on content/{id}","allowed in geo-feed"
seo_llm_citation_facts,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-location-citation-facts.php,update_post_meta|get_post_meta,content/{id},"allowed on content/{id}","private by default"
seo_llm_description,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-general-llm-prompt.php,update_post_meta|get_post_meta,content/{id},"allowed on content/{id}","private by default"
seo_llm_description,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-location-llm-prompt.php,update_post_meta|get_post_meta,content/{id},"allowed on content/{id}","private by default"
seo_llm_key_differentiators,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-general-llm-context.php,update_post_meta|get_post_meta,content/{id},"allowed on content/{id}","private by default"
seo_llm_key_differentiators,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-location-llm-context.php,update_post_meta|get_post_meta,content/{id},"allowed on content/{id}","private by default"
seo_llm_primary_intent,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-general-llm-context.php,update_post_meta|get_post_meta,content/{id},"allowed on content/{id}","private by default"
seo_llm_primary_intent,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-location-llm-context.php,update_post_meta|get_post_meta,content/{id},"allowed on content/{id}","private by default"
seo_llm_service_area_cities,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-location-service-area.php,update_post_meta|get_post_meta,content/{id},"allowed on content/{id}","allowed in geo-feed"
seo_llm_service_area_lat,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-location-service-area.php,update_post_meta|get_post_meta,content/{id},"allowed on content/{id}","allowed in geo-feed"
seo_llm_service_area_lng,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-location-service-area.php,update_post_meta|get_post_meta,content/{id},"allowed on content/{id}","allowed in geo-feed"
seo_llm_service_area_radius,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-location-service-area.php,update_post_meta|get_post_meta,content/{id},"allowed on content/{id}","allowed in geo-feed"
seo_llm_service_area_state,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-location-service-area.php,update_post_meta|get_post_meta,content/{id},"allowed on content/{id}","allowed in geo-feed"
seo_llm_target_queries,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-general-llm-context.php,update_post_meta|get_post_meta,content/{id},"allowed on content/{id}","private by default"
seo_llm_target_queries,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-location-llm-context.php,update_post_meta|get_post_meta,content/{id},"allowed on content/{id}","private by default"
seo_llm_when_to_recommend,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-general-llm-prompt.php,update_post_meta|get_post_meta,content/{id},"allowed on content/{id}","private by default"
seo_llm_when_to_recommend,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-location-llm-prompt.php,update_post_meta|get_post_meta,content/{id},"allowed on content/{id}","private by default"
stories_featured_post,chroma-excellence-theme/inc/stories-page-meta.php,update_post_meta|delete_post_meta|get_post_meta,content/{id},"allowed on content/{id}","private by default"
team_member_title,chroma-excellence-theme/inc/cpt-team-members.php,update_post_meta|register_post_meta|get_post_meta,content/{id},"allowed on content/{id}","private by default"
