kind,name,path,target,status,notes
wp-hook,upload_mimes,chroma-excellence-theme/functions.php,filter,inventory,
wp-hook,wp_head,chroma-excellence-theme/functions.php,action,inventory,
wp-hook,litespeed_img_lazy_exclude,chroma-excellence-theme/functions.php,filter,inventory,
wp-hook,wp_enqueue_scripts,chroma-excellence-theme/functions.php,action,inventory,
wp-hook,user_trailingslashit,chroma-excellence-theme/functions.php,filter,inventory,
wp-hook,request,chroma-excellence-theme/functions.php,filter,inventory,
wp-hook,wp_sitemaps_enabled,chroma-excellence-theme/functions.php,filter,inventory,
wp-hook,template_redirect,chroma-excellence-theme/functions.php,action,inventory,
wp-hook,redirect_canonical,chroma-excellence-theme/functions.php,filter,inventory,
wp-hook,template_redirect,chroma-excellence-theme/functions.php,action,inventory,
wp-hook,pre_option_chroma_seo_redirect_canonical,chroma-excellence-theme/functions.php,filter,inventory,
wp-hook,document_title_parts,chroma-excellence-theme/functions.php,filter,inventory,
wp-hook,document_title_separator,chroma-excellence-theme/functions.php,filter,inventory,
wp-hook,wp_speculation_rules_configuration,chroma-excellence-theme/functions.php,filter,inventory,
wp-hook,pl_speculation_rules_configuration,chroma-excellence-theme/functions.php,filter,inventory,
wp-hook,wp_footer,chroma-excellence-theme/functions.php,action,inventory,
wp-hook,init,chroma-excellence-theme/functions.php,action,inventory,
shortcode,chroma_contact_form,chroma-excellence-theme/functions.php,,inventory,
asset-ref,assets/images/logo_chromacropped_70x70.webp,chroma-excellence-theme/header.php,chroma-excellence-theme/assets/images/logo_chromacropped_70x70.webp,exists,
wp-hook,add_meta_boxes,chroma-excellence-theme/inc/about-page-meta.php,action,inventory,
wp-hook,save_post,chroma-excellence-theme/inc/about-page-meta.php,action,inventory,
wp-hook,save_post,chroma-excellence-theme/inc/about-page-meta.php,action,inventory,
wp-hook,init,chroma-excellence-theme/inc/about-seo.php,action,inventory,
wp-hook,add_meta_boxes,chroma-excellence-theme/inc/about-seo.php,action,inventory,
wp-hook,save_post_page,chroma-excellence-theme/inc/about-seo.php,action,inventory,
wp-hook,wp_head,chroma-excellence-theme/inc/about-seo.php,action,inventory,
wp-hook,pre_get_document_title,chroma-excellence-theme/inc/about-seo.php,filter,inventory,
wp-hook,wpseo_title,chroma-excellence-theme/inc/about-seo.php,filter,inventory,
wp-hook,wpseo_metadesc,chroma-excellence-theme/inc/about-seo.php,filter,inventory,
wp-hook,customize_save_after,chroma-excellence-theme/inc/acf-homepage.php,action,inventory,
wp-hook,save_post_page,chroma-excellence-theme/inc/acf-homepage.php,action,inventory,
wp-hook,admin_menu,chroma-excellence-theme/inc/admin/class-menu-sync.php,action,inventory,
wp-hook,admin_init,chroma-excellence-theme/inc/admin/class-menu-sync.php,action,inventory,
wp-hook,admin_notices,chroma-excellence-theme/inc/admin/class-menu-sync.php,action,inventory,
wp-hook,wp,chroma-excellence-theme/inc/archive-root-query-context.php,action,inventory,
wp-hook,add_meta_boxes,chroma-excellence-theme/inc/careers-page-meta.php,action,inventory,
wp-hook,save_post,chroma-excellence-theme/inc/careers-page-meta.php,action,inventory,
wp-hook,save_post,chroma-excellence-theme/inc/careers-page-meta.php,action,inventory,
wp-hook,wp_footer,chroma-excellence-theme/inc/chroma-booking-modal.php,action,inventory,
wp-hook,wp_enqueue_scripts,chroma-excellence-theme/inc/chroma-pdf-viewer.php,action,inventory,
wp-hook,wp_footer,chroma-excellence-theme/inc/chroma-pdf-viewer.php,action,inventory,
shortcode,chroma_pdf,chroma-excellence-theme/inc/chroma-pdf-viewer.php,,inventory,
asset-ref,assets/js/chroma-pdf-viewer.js,chroma-excellence-theme/inc/chroma-pdf-viewer.php,chroma-excellence-theme/assets/js/chroma-pdf-viewer.js,exists,
asset-ref,assets/js/pdf/pdf.min.js,chroma-excellence-theme/inc/chroma-pdf-viewer.php,chroma-excellence-theme/assets/js/pdf/pdf.min.js,exists,
asset-ref,assets/js/pdf/pdf.worker.min.js,chroma-excellence-theme/inc/chroma-pdf-viewer.php,chroma-excellence-theme/assets/js/pdf/pdf.worker.min.js,exists,
wp-hook,add_meta_boxes,chroma-excellence-theme/inc/city-slug-logic.php,action,inventory,
wp-hook,init,chroma-excellence-theme/inc/class-amp-blog.php,action,inventory,
wp-hook,init,chroma-excellence-theme/inc/class-amp-blog.php,action,inventory,
wp-hook,redirect_canonical,chroma-excellence-theme/inc/class-amp-blog.php,filter,inventory,
wp-hook,template_redirect,chroma-excellence-theme/inc/class-amp-blog.php,action,inventory,
wp-hook,wp_head,chroma-excellence-theme/inc/class-amp-blog.php,action,inventory,
wp-hook,the_content,chroma-excellence-theme/inc/class-amp-blog.php,filter,inventory,
wp-hook,wp_head,chroma-excellence-theme/inc/class-branding-engine.php,action,inventory,
wp-hook,save_post_location,chroma-excellence-theme/inc/class-data-service.php,action,inventory,
wp-hook,save_post_program,chroma-excellence-theme/inc/class-data-service.php,action,inventory,
wp-hook,edited_location_region,chroma-excellence-theme/inc/class-data-service.php,action,inventory,
wp-hook,created_location_region,chroma-excellence-theme/inc/class-data-service.php,action,inventory,
wp-hook,delete_location_region,chroma-excellence-theme/inc/class-data-service.php,action,inventory,
wp-hook,save_post_chroma_school,chroma-excellence-theme/inc/class-data-service.php,action,inventory,
wp-hook,add_meta_boxes,chroma-excellence-theme/inc/class-program-enhancements.php,action,inventory,
wp-hook,save_post_program,chroma-excellence-theme/inc/class-program-enhancements.php,action,inventory,
wp-hook,wp_head,chroma-excellence-theme/inc/class-program-enhancements.php,action,inventory,
wp-hook,comments_open,chroma-excellence-theme/inc/cleanup.php,filter,inventory,
wp-hook,template_redirect,chroma-excellence-theme/inc/cleanup.php,action,inventory,
wp-hook,template_redirect,chroma-excellence-theme/inc/cleanup.php,action,inventory,
wp-hook,template_redirect,chroma-excellence-theme/inc/cleanup.php,action,inventory,
wp-hook,xmlrpc_enabled,chroma-excellence-theme/inc/cleanup.php,filter,inventory,
wp-hook,do_feed,chroma-excellence-theme/inc/cleanup.php,action,inventory,
wp-hook,do_feed_rdf,chroma-excellence-theme/inc/cleanup.php,action,inventory,
wp-hook,do_feed_rss,chroma-excellence-theme/inc/cleanup.php,action,inventory,
wp-hook,do_feed_rss2,chroma-excellence-theme/inc/cleanup.php,action,inventory,
wp-hook,do_feed_atom,chroma-excellence-theme/inc/cleanup.php,action,inventory,
wp-hook,do_feed_rss2_comments,chroma-excellence-theme/inc/cleanup.php,action,inventory,
wp-hook,do_feed_atom_comments,chroma-excellence-theme/inc/cleanup.php,action,inventory,
