kind,name,path,line,scope,status,notes
wp_filter,manage_program_posts_columns,chroma-excellence-theme\inc\cpt-programs.php,107,hook,registered,
wp_filter,enter_title_here,chroma-excellence-theme\inc\cpt-programs.php,144,hook,registered,
cpt,program,chroma-excellence-theme\inc\cpt-programs.php,44,post_type,registered,
taxonomy,program_location,chroma-excellence-theme\inc\cpt-programs.php,76,taxonomy,registered,
wp_action,init,chroma-excellence-theme\inc\cpt-team-members.php,51,hook,registered,
wp_action,init,chroma-excellence-theme\inc\cpt-team-members.php,73,hook,registered,
wp_action,add_meta_boxes,chroma-excellence-theme\inc\cpt-team-members.php,89,hook,registered,
wp_action,save_post,chroma-excellence-theme\inc\cpt-team-members.php,156,hook,registered,
wp_action,save_post,chroma-excellence-theme\inc\cpt-team-members.php,160,hook,registered,
wp_action,manage_team_member_posts_custom_column,chroma-excellence-theme\inc\cpt-team-members.php,193,hook,registered,
wp_action,pre_get_posts,chroma-excellence-theme\inc\cpt-team-members.php,223,hook,registered,
wp_action,after_switch_theme,chroma-excellence-theme\inc\cpt-team-members.php,286,hook,registered,
wp_action,init,chroma-excellence-theme\inc\cpt-team-members.php,287,hook,registered,
wp_filter,manage_team_member_posts_columns,chroma-excellence-theme\inc\cpt-team-members.php,176,hook,registered,
wp_filter,manage_edit-team_member_sortable_columns,chroma-excellence-theme\inc\cpt-team-members.php,203,hook,registered,
cpt,team_member,chroma-excellence-theme\inc\cpt-team-members.php,49,post_type,registered,
wp_action,wp_head,chroma-excellence-theme\inc\critical-css.php,649,hook,registered,
wp_action,add_meta_boxes,chroma-excellence-theme\inc\curriculum-page-meta.php,72,hook,registered,
wp_action,save_post,chroma-excellence-theme\inc\curriculum-page-meta.php,720,hook,registered,
wp_action,save_post,chroma-excellence-theme\inc\curriculum-page-meta.php,829,hook,registered,
wp_action,customize_register,chroma-excellence-theme\inc\customizer-footer.php,170,hook,registered,
wp_action,customize_register,chroma-excellence-theme\inc\customizer-header.php,117,hook,registered,
wp_action,customize_register,chroma-excellence-theme\inc\customizer-home.php,476,hook,registered,
wp_action,customize_register,chroma-excellence-theme\inc\customizer-locations.php,96,hook,registered,
wp_action,customize_register,chroma-excellence-theme\inc\customizer-scripts.php,79,hook,registered,
wp_action,wp_head,chroma-excellence-theme\inc\customizer-scripts.php,265,hook,registered,
wp_action,wp_footer,chroma-excellence-theme\inc\customizer-scripts.php,295,hook,registered,
wp_action,customize_register,chroma-excellence-theme\inc\customizer-seo.php,203,hook,registered,
wp_action,wp_head,chroma-excellence-theme\inc\customizer-seo.php,378,hook,registered,
wp_action,wp_head,chroma-excellence-theme\inc\customizer-seo.php,533,hook,registered,
wp_filter,pre_get_document_title,chroma-excellence-theme\inc\customizer-seo.php,401,hook,registered,
wp_filter,wpseo_title,chroma-excellence-theme\inc\customizer-seo.php,402,hook,registered,
wp_filter,wpseo_metadesc,chroma-excellence-theme\inc\customizer-seo.php,417,hook,registered,
wp_filter,wpseo_opengraph_desc,chroma-excellence-theme\inc\customizer-seo.php,418,hook,registered,
shortcode,chroma_link,chroma-excellence-theme\inc\dynamic-links.php,213,shortcode,registered,
wp_action,add_meta_boxes,chroma-excellence-theme\inc\early-start-program-meta.php,79,hook,registered,
wp_action,save_post,chroma-excellence-theme\inc\early-start-program-meta.php,298,hook,registered,
wp_action,save_post,chroma-excellence-theme\inc\early-start-program-meta.php,358,hook,registered,
wp_action,add_meta_boxes,chroma-excellence-theme\inc\employers-page-meta.php,54,hook,registered,
wp_action,save_post,chroma-excellence-theme\inc\employers-page-meta.php,400,hook,registered,
wp_action,save_post,chroma-excellence-theme\inc\employers-page-meta.php,469,hook,registered,
wp_action,wp_enqueue_scripts,chroma-excellence-theme\inc\enqueue.php,337,hook,registered,
wp_action,admin_enqueue_scripts,chroma-excellence-theme\inc\enqueue.php,385,hook,registered,
